WRT_ALL 0x0 0x0 0x3ff 0x0
READ 0x0 0x0 0x0 0x0
READ 0x1 0x0 0x0 0x0
READ 0x2 0x0 0x0 0x0
READ 0x3 0x0 0x0 0x0
READ 0x4 0x0 0x0 0x0
READ 0x5 0x0 0x0 0x0
READ 0x6 0x0 0x0 0x0
READ 0x7 0x0 0x0 0x0
READ 0x8 0x0 0x0 0x0
READ 0x9 0x0 0x0 0x0
READ 0xa 0x0 0x0 0x0
READ 0xb 0x0 0x0 0x0
READ 0xc 0x0 0x0 0x0
READ 0xd 0x0 0x0 0x0
READ 0xe 0x0 0x0 0x0
READ 0xf 0x0 0x0 0x0
READ 0x10 0x0 0x0 0x0
READ 0x11 0x0 0x0 0x0
READ 0x12 0x0 0x0 0x0
READ 0x13 0x0 0x0 0x0
READ 0x14 0x0 0x0 0x0
READ 0x15 0x0 0x0 0x0
READ 0x16 0x0 0x0 0x0
READ 0x17 0x0 0x0 0x0
READ 0x18 0x0 0x0 0x0
READ 0x19 0x0 0x0 0x0
READ 0x1a 0x0 0x0 0x0
REKNOW 0xffffffff 0xffffffff 0xffffffff 0xffffffff
READ 0x1c 0x0 0x0 0x0
READ 0x1d 0x0 0x0 0x0
READ 0x1e 0x0 0x0 0x0
READ 0x1f 0x0 0x0 0x0
READ 0x20 0x0 0x0 0x0
READ 0x21 0x0 0x0 0x0
READ 0x22 0x0 0x0 0x0
READ 0x23 0x0 0x0 0x0
READ 0x24 0x0 0x0 0x0
READ 0x25 0x0 0x0 0x0
READ 0x26 0x0 0x0 0x0
READ 0x27 0x0 0x0 0x0
READ 0x28 0x0 0x0 0x0
READ 0x29 0x0 0x0 0x0
READ 0x2a 0x0 0x0 0x0
READ 0x2b 0x0 0x0 0x0
READ 0x2c 0x0 0x0 0x0
READ 0x2d 0x0 0x0 0x0
READ 0x2e 0x0 0x0 0x0
READ 0x2f 0x0 0x0 0x0
READ 0x30 0x0 0x0 0x0
READ 0x31 0x0 0x0 0x0
READ 0x32 0x0 0x0 0x0
READ 0x33 0x0 0x0 0x0
READ 0x34 0x0 0x0 0x0
READ 0x35 0x0 0x0 0x0
READ 0x36 0x0 0x0 0x0
READ 0x37 0x0 0x0 0x0
READ 0x38 0x0 0x0 0x0
READ 0x39 0x0 0x0 0x0
READ 0x3a 0x0 0x0 0x0
READ 0x3b 0x0 0x0 0x0
READ 0x3c 0x0 0x0 0x0
READ 0x3d 0x0 0x0 0x0
READ 0x3e 0x0 0x0 0x0
READ 0x3f 0x0 0x0 0x0
READ 0x40 0x0 0x0 0x0
READ 0x41 0x0 0x0 0x0
READ 0x42 0x0 0x0 0x0
READ 0x43 0x0 0x0 0x0
READ 0x44 0x0 0x0 0x0
READ 0x45 0x0 0x0 0x0
READ 0x46 0x0 0x0 0x0
READ 0x47 0x0 0x0 0x0
READ 0x48 0x0 0x0 0x0
READ 0x49 0x0 0x0 0x0
READ 0x4a 0x0 0x0 0x0
READ 0x4b 0x0 0x0 0x0
READ 0x4c 0x0 0x0 0x0
READ 0x4d 0x0 0x0 0x0
READ 0x4e 0x0 0x0 0x0
READ 0x4f 0x0 0x0 0x0
READ 0x50 0x0 0x0 0x0
READ 0x51 0x0 0x0 0x0
READ 0x52 0x0 0x0 0x0
READ 0x53 0x0 0x0 0x0
READ 0x54 0x0 0x0 0x0
READ 0x55 0x0 0x0 0x0
READ 0x56 0x0 0x0 0x0
READ 0x57 0x0 0x0 0x0
READ 0x58 0x0 0x0 0x0
READ 0x59 0x0 0x0 0x0
READ 0x5a 0x0 0x0 0x0
READ 0x5b 0x0 0x0 0x0
READ 0x5c 0x0 0x0 0x0
READ 0x5d 0x0 0x0 0x0
READ 0x5e 0x0 0x0 0x0
REKNOW 0xffffffff 0xffffffff 0xffffffff 0xffffffff
READ 0x60 0x0 0x0 0x0
READ 0x61 0x0 0x0 0x0
READ 0x62 0x0 0x0 0x0
READ 0x63 0x0 0x0 0x0
READ 0x64 0x0 0x0 0x0
READ 0x65 0x0 0x0 0x0
READ 0x66 0x0 0x0 0x0
READ 0x67 0x0 0x0 0x0
READ 0x68 0x0 0x0 0x0
READ 0x69 0x0 0x0 0x0
READ 0x6a 0x0 0x0 0x0
READ 0x6b 0x0 0x0 0x0
READ 0x6c 0x0 0x0 0x0
READ 0x6d 0x0 0x0 0x0
READ 0x6e 0x0 0x0 0x0
READ 0x6f 0x0 0x0 0x0
READ 0x70 0x0 0x0 0x0
